EmployeeID,EmployeeName,Positions,Department,HireDate,Phone,CustomerID,MetricID
1,Stephen Clark,Manager,Inventory,2015-11-17,+1-827-364-0526x2717,117,415
2,Vanessa Wells,Clerk,Finance,2021-11-29,+1-253-634-9239x2402,143,309
3,Timothy Sweeney,Assistant,Finance,2016-06-07,417.259.6419x836,211,225
4,John Schmidt,Assistant,Sales,2019-05-30,7319916799,57,282
5,Scott Torres PhD,Salesperson,HR,2018-12-31,001-963-451-2287x309,383,183
6,Melissa Collins,Assistant,Inventory,2014-06-22,001-913-328-1166x992,205,39
7,Lydia Clark,Manager,Finance,2023-03-02,942.940.8760,386,130
8,Amanda Bailey,Salesperson,Sales,2020-06-14,(799)581-5170x30412,416,379
9,Randall Rush,Assistant,Finance,2015-11-02,951.385.7320x19749,2,160
10,Jennifer Blackwell,Manager,Sales,2017-07-06,(403)426-6102,200,271
11,Dr. Kathryn Zimmerman,Salesperson,HR,2021-02-01,001-258-998-7689x19154,265,40
12,Annette Tyler,Manager,Inventory,2020-11-05,6383485098,409,324
13,Brittney Porter,Salesperson,Finance,2020-05-05,+1-524-429-5193x101,87,405
14,Kerri Montes,Clerk,HR,2021-05-07,(399)458-1711x5393,52,125
15,Alexa Monroe,Assistant,Finance,2018-04-21,+1-961-217-6099x3462,416,258
16,Marissa Brown,Assistant,Sales,2020-08-07,967-453-5205x7233,386,55
17,Elizabeth Romero,Clerk,Sales,2016-02-27,211.481.2431,497,475
18,Debra Garcia,Assistant,Finance,2018-09-02,001-784-707-4261x39313,114,252
19,Dana Stewart,Salesperson,Finance,2018-10-23,001-698-778-7551x869,142,97
20,Dr. Rebekah Porter,Manager,Inventory,2017-06-18,(594)383-5022,404,474
21,Denise Henderson,Manager,Finance,2020-03-15,+1-776-466-5494x523,6,47
22,Robert Romero,Clerk,Sales,2016-08-17,490-716-8503,426,468
23,Steven Johnson,Salesperson,HR,2015-10-28,396.924.7121x39161,74,103
24,Jeremy Davidson,Clerk,Finance,2022-01-29,851-600-1558,230,287
25,Allen Baker,Salesperson,Finance,2022-08-12,(342)687-5268x140,440,110
26,Dennis Olson,Salesperson,Sales,2015-02-21,801-224-4855x11491,488,7
27,Victor Patterson,Manager,Finance,2019-03-08,001-364-844-8430x1473,387,415
28,Richard Gonzalez,Manager,Inventory,2016-11-14,505-388-1031,115,275
29,Karen Adkins,Assistant,HR,2016-07-23,845.668.7355x02148,109,238
30,John Miles,Assistant,Sales,2020-12-30,(623)318-0612x511,397,448
31,Sarah Kim,Assistant,Sales,2022-11-18,(809)990-2634,11,226
32,John Carney,Clerk,HR,2017-11-27,551.219.7557,175,24
33,Larry Kelly,Assistant,Inventory,2021-12-24,001-507-658-1727x6076,30,414
34,Steven Boone,Clerk,Sales,2020-01-04,712.951.4544x0925,127,373
35,John Hill,Clerk,Sales,2014-12-20,(502)557-0102,414,374
36,Adam Jensen,Manager,HR,2023-07-13,001-656-286-1975x136,351,253
37,Dana Davis,Manager,Sales,2014-05-16,001-859-904-6464x0103,173,136
38,Rachael Perez MD,Assistant,Sales,2020-09-18,(868)255-4863,106,217
39,Julie Mckinney,Assistant,Sales,2016-04-18,(673)606-9776x97942,252,11
40,Melissa Beck,Manager,HR,2023-08-24,274.716.1427x3180,387,174
41,Vincent Wright,Assistant,Finance,2017-10-31,367-360-0849x424,322,233
42,Jacqueline Baldwin,Clerk,Inventory,2020-05-21,372.466.1733,167,95
43,Kathleen Brown,Salesperson,HR,2020-02-20,645-555-6062,481,109
44,Paul Brown,Manager,Finance,2017-09-27,+1-724-816-3862x721,81,448
45,Randall Thompson,Assistant,Inventory,2020-01-03,001-492-752-9463x36673,180,118
46,Teresa Burgess,Salesperson,Sales,2015-02-22,704.953.0708,431,144
47,Anthony Cruz,Clerk,Inventory,2023-08-12,(304)423-9773,459,47
48,Paige Thomas,Clerk,Inventory,2023-12-04,001-414-540-5600x04366,276,344
49,Wendy Johnson,Salesperson,Inventory,2018-04-29,(576)244-6086x100,219,477
50,Brian Decker,Assistant,Sales,2022-10-12,381.825.6860x55670,455,179
51,Michael Pope,Clerk,Inventory,2023-11-14,+1-257-995-8182,365,363
52,Nicolas Baker,Manager,Finance,2019-04-08,2513520443,392,309
53,Jessica Gutierrez,Salesperson,Inventory,2021-02-24,+1-349-285-2884,272,60
54,James Whitaker,Assistant,Inventory,2019-03-14,001-753-277-5211x1292,376,467
55,Jessica Horn,Salesperson,Sales,2018-06-27,385.925.5912x3381,234,406
56,Jennifer Myers,Salesperson,HR,2016-12-06,(608)986-2166x8155,203,264
57,William Bradley,Clerk,HR,2024-02-17,2236784839,376,428
58,Fernando Olsen,Assistant,HR,2019-10-04,(963)968-7646x41299,208,213
59,Michelle Smith,Assistant,Sales,2023-08-28,001-571-954-9151,499,330
60,Taylor Graham,Clerk,Sales,2019-03-16,9663835596,128,469
61,Thomas Harris,Clerk,HR,2018-10-25,+1-413-966-4451x922,225,487
62,Justin Miller,Clerk,HR,2018-11-11,(360)996-7849x37941,270,45
63,James Sanchez,Manager,Inventory,2017-07-27,001-404-502-6730x6269,165,230
64,Terri Perez,Clerk,Finance,2024-03-13,+1-638-465-1104,357,376
65,Nathan Davis,Manager,HR,2024-05-13,+1-254-849-7626x86592,14,68
66,Kayla Whitehead,Manager,Finance,2018-11-16,595-770-8735,36,25
67,Douglas Lynch,Assistant,HR,2020-02-19,955.669.6476,442,316
68,Kathy Nielsen,Assistant,Sales,2019-04-15,440-299-8222,96,1
69,Kim Jenkins,Assistant,Inventory,2020-12-13,284-795-1261x141,410,419
70,Pamela Cooper,Manager,Sales,2023-08-15,475.318.4612x3038,405,409
71,Lauren Roach,Clerk,Sales,2017-04-21,(298)355-0561x60780,286,402
72,Miguel Martin,Salesperson,Finance,2022-04-30,001-848-857-1291x443,122,12
73,Brenda Tran,Salesperson,HR,2014-12-21,624.329.2908,270,383
74,John Vasquez,Salesperson,Sales,2019-02-28,(583)276-8985,60,161
75,Taylor Phillips,Clerk,Sales,2020-08-19,3936786565,411,126
76,Kristen Jimenez,Clerk,Inventory,2021-10-28,758-352-2108x18555,385,114
77,Brian Romero,Clerk,Inventory,2024-02-15,+1-353-897-2197x4848,418,300
78,Christopher Santos,Assistant,Sales,2017-07-24,+1-470-585-2421x188,4,446
79,James Smith,Clerk,HR,2016-11-23,+1-262-558-3448x61428,63,190
80,Michael Ferguson,Clerk,Sales,2021-08-02,001-200-669-8033x575,329,235
81,Patrick Johnson,Salesperson,Inventory,2022-03-28,9414637472,257,368
82,John Kim,Salesperson,HR,2022-12-02,4606085683,62,302
83,Sue Black,Assistant,Inventory,2019-11-06,259.700.0695x92025,263,9
84,Donald Anderson,Salesperson,Sales,2015-08-27,+1-931-497-1303,237,150
85,Jordan Lester,Manager,HR,2014-07-13,9494736742,389,210
86,Joseph Aguirre,Manager,Finance,2017-04-06,+1-630-858-0586x57181,76,105
87,Dustin Jones,Salesperson,HR,2021-11-22,353.587.3151x451,172,118
88,Brandi Brown,Salesperson,Finance,2017-09-29,+1-995-861-9231x738,490,468
89,Robert Spears,Clerk,Finance,2014-06-21,551.888.9994,271,73
90,Matthew Todd,Salesperson,HR,2021-11-11,888-218-6633,108,243
91,Heather Torres,Clerk,Finance,2017-06-10,+1-631-441-2100x71020,74,176
